
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.235.216[上海市 电信]
Discovered open port 21/tcp on 101.81.249.222[上海市 电信]
Discovered open port 21/tcp on 101.81.51.222[上海市 电信]
Discovered open port 21/tcp on 101.81.254.224[上海市 电信]
Discovered open port 21/tcp on 101.81.14.225[上海市 电信]
Discovered open port 21/tcp on 101.81.97.225[上海市 电信]
Discovered open port 21/tcp on 101.81.248.225[上海市 电信]
Discovered open port 21/tcp on 101.81.12.226[上海市 电信]
Discovered open port 21/tcp on 101.81.151.226[上海市 电信]
Discovered open port 21/tcp on 101.81.55.226[上海市 电信]
Discovered open port 21/tcp on 101.81.171.226[上海市 电信]
Discovered open port 21/tcp on 101.81.12.227[上海市 电信]
Discovered open port 21/tcp on 101.81.123.227[上海市 电信]
Discovered open port 21/tcp on 101.81.225.227[上海市 电信]
Discovered open port 21/tcp on 101.81.57.229[上海市 电信]
Discovered open port 21/tcp on 101.81.205.229[上海市 电信]
Discovered open port 21/tcp on 101.81.113.230[上海市 电信]
Discovered open port 21/tcp on 101.81.119.230[上海市 电信]
Discovered open port 21/tcp on 101.81.80.231[上海市 电信]
Discovered open port 21/tcp on 101.81.36.232[上海市 电信]
Discovered open port 21/tcp on 101.81.95.232[上海市 电信]
Discovered open port 21/tcp on 101.81.222.232[上海市 电信]
Discovered open port 21/tcp on 101.81.254.232[上海市 电信]
Discovered open port 21/tcp on 101.81.51.234[上海市 电信]
Discovered open port 21/tcp on 101.81.62.234[上海市 电信]
Discovered open port 21/tcp on 101.81.87.236[上海市 电信]
Discovered open port 21/tcp on 101.81.231.232[上海市 电信]
Discovered open port 21/tcp on 101.81.109.236[上海市 电信]
Discovered open port 21/tcp on 101.81.124.237[上海市 电信]
Discovered open port 21/tcp on 101.81.95.238[上海市 电信]
Discovered open port 21/tcp on 101.81.140.237[上海市 电信]
Discovered open port 21/tcp on 101.81.104.238[上海市 电信]
Discovered open port 21/tcp on 101.81.123.239[上海市 电信]
Discovered open port 21/tcp on 101.81.126.239[上海市 电信]
Discovered open port 21/tcp on 101.81.123.240[上海市 电信]
Discovered open port 21/tcp on 101.81.11.242[上海市 电信]
Discovered open port 21/tcp on 101.81.32.243[上海市 电信]
Discovered open port 21/tcp on 101.81.11.244[上海市 电信]
Discovered open port 21/tcp on 101.81.62.244[上海市 电信]
Discovered open port 21/tcp on 101.81.94.244[上海市 电信]
Discovered open port 21/tcp on 101.81.127.245[上海市 电信]
Discovered open port 21/tcp on 101.81.145.245[上海市 电信]
Discovered open port 21/tcp on 101.81.240.245[上海市 电信]
Discovered open port 21/tcp on 101.81.254.246[上海市 电信]
Discovered open port 21/tcp on 101.81.91.247[上海市 电信]
Discovered open port 21/tcp on 101.81.115.246[上海市 电信]
Discovered open port 21/tcp on 101.81.226.248[上海市 电信]
Discovered open port 21/tcp on 101.81.216.248[上海市 电信]
Discovered open port 21/tcp on 101.81.249.248[上海市 电信]
Discovered open port 21/tcp on 101.81.61.249[上海市 电信]
Discovered open port 21/tcp on 101.81.230.249[上海市 电信]
Discovered open port 21/tcp on 101.81.146.252[上海市 电信]
Discovered open port 21/tcp on 101.81.226.253[上海市 电信]
Discovered open port 21/tcp on 101.81.117.253[上海市 电信]
Discovered open port 21/tcp on 101.81.116.255[上海市 电信]
Discovered open port 21/tcp on 101.81.142.0[上海市 电信]
Discovered open port 21/tcp on 101.81.228.5[上海市 电信]
Discovered open port 21/tcp on 101.81.247.5[上海市 电信]
Discovered open port 21/tcp on 101.81.235.6[上海市 电信]
Discovered open port 21/tcp on 101.81.141.6[上海市 电信]
Discovered open port 21/tcp on 101.81.61.9[上海市 电信]
Discovered open port 21/tcp on 101.81.235.9[上海市 电信]
Discovered open port 21/tcp on 101.81.95.15[上海市 电信]
Discovered open port 21/tcp on 101.81.180.16[上海市 电信]
Discovered open port 21/tcp on 101.81.248.25[上海市 电信]
Discovered open port 21/tcp on 101.81.102.26[上海市 电信]
Discovered open port 21/tcp on 101.81.56.54[上海市 电信]
Discovered open port 21/tcp on 101.81.123.54[上海市 电信]
Discovered open port 21/tcp on 101.81.200.87[上海市 电信]
Discovered open port 21/tcp on 101.81.92.88[上海市 电信]
Discovered open port 21/tcp on 101.81.234.124[上海市 电信]
Discovered open port 21/tcp on 101.81.63.125[上海市 电信]
